,Year,Region,Round,Seed,Team,Location,OpponentSeed,Opponent,WinningTeam
161,2015,south,1,7,Iowa,"Seattle, WA",10,Davidson,Iowa
162,2015,south,1,2,Gonzaga,"Seattle, WA",15,North Dakota State,Gonzaga
163,2015,south,2,1,Duke,"Charlotte, NC",8,San Diego State,Duke
164,2015,south,2,5,Utah,"Portland, OR",4,Georgetown,Utah
165,2015,south,2,11,UCLA,"Louisville, KY",14,Alabama-Birmingham,UCLA
166,2015,south,2,7,Iowa,"Seattle, WA",2,Gonzaga,Gonzaga
167,2015,south,3,1,Duke,"Houston, TX",5,Utah,Duke
168,2015,south,3,11,UCLA,"Houston, TX",2,Gonzaga,Gonzaga
169,2015,south,4,1,Duke,"Houston, TX",2,Gonzaga,Duke
170,2015,west,1,1,Wisconsin,"Omaha, NE",16,Coastal Carolina,Wisconsin
171,2015,west,1,8,Oregon,"Omaha, NE",9,Oklahoma State,Oregon
172,2015,west,1,5,Arkansas,"Jacksonville, FL",12,Wofford,Arkansas
173,2015,west,1,4,UNC,"Jacksonville, FL",13,Harvard,UNC
174,2015,west,1,6,Xavier,"Jacksonville, FL",11,Ole Miss,Xavier
175,2015,west,1,3,Baylor,"Jacksonville, FL",14,Georgia State,Georgia State
176,2015,west,1,7,VCU,"Portland, OR",10,Ohio State,Ohio State
177,2015,west,1,2,Arizona,"Portland, OR",15,Texas Southern,Arizona
178,2015,west,2,1,Wisconsin,"Omaha, NE",8,Oregon,Wisconsin
179,2015,west,2,5,Arkansas,"Jacksonville, FL",4,UNC,UNC
180,2015,west,2,6,Xavier,"Jacksonville, FL",14,Georgia State,Xavier
181,2015,west,2,10,Ohio State,"Portland, OR",2,Arizona,Arizona
182,2015,west,3,1,Wisconsin,"Los Angeles, CA",4,UNC,Wisconsin
183,2015,west,3,6,Xavier,"Los Angeles, CA",2,Arizona,Arizona
184,2015,west,4,1,Wisconsin,"Los Angeles, CA",2,Arizona,Wisconsin
185,2015,final four,5,1,Duke,"Indianapolis, IN",7,Michigan State,Duke
186,2015,final four,5,1,Kentucky,"Indianapolis, IN",1,Wisconsin,Wisconsin
187,2015,final four,6,1,Duke,"Indianapolis, IN",1,Wisconsin,Duke
188,2014,midwest,1,1,Wichita State,"St. Louis, MO",16,Cal Poly,Wichita State
189,2014,midwest,1,8,Kentucky,"St. Louis, MO",9,Kansas State,Kentucky
190,2014,midwest,1,5,Saint Louis,"Orlando, FL",12,North Carolina State,Saint Louis
191,2014,midwest,1,4,Louisville,"Orlando, FL",13,Manhattan,Louisville
192,2014,midwest,1,6,UMass,"Raleigh, NC",11,Tennessee,Tennessee
193,2014,midwest,1,3,Duke,"Raleigh, NC",14,Mercer,Mercer
194,2014,midwest,1,7,Texas,"Milwaukee, WI",10,Arizona State,Texas
195,2014,midwest,1,2,Michigan,"Milwaukee, WI",15,Wofford,Michigan
196,2014,midwest,2,1,Wichita State,"St. Louis, MO",8,Kentucky,Kentucky
197,2014,midwest,2,5,Saint Louis,"Orlando, FL",4,Louisville,Louisville
198,2014,midwest,2,11,Tennessee,"Raleigh, NC",14,Mercer,Tennessee
199,2014,midwest,2,7,Texas,"Milwaukee, WI",2,Michigan,Michigan
200,2014,midwest,3,8,Kentucky,"Indianapolis, IN",4,Louisville,Kentucky
201,2014,midwest,3,11,Tennessee,"Indianapolis, IN",2,Michigan,Michigan
202,2014,midwest,4,8,Kentucky,"Indianapolis, IN",2,Michigan,Kentucky
203,2014,west,1,1,Arizona,"San Diego, CA",16,Weber State,Arizona
204,2014,west,1,8,Gonzaga,"San Diego, CA",9,Oklahoma State,Gonzaga
205,2014,west,1,5,Oklahoma,"Spokane, WA",12,North Dakota State,North Dakota State
206,2014,west,1,4,San Diego State,"Spokane, WA",13,New Mexico State,San Diego State
207,2014,west,1,6,Baylor,"San Antonio, TX",11,Nebraska,Baylor
208,2014,west,1,3,Creighton,"San Antonio, TX",14,Louisiana-Lafayette,Creighton
209,2014,west,1,7,Oregon,"Milwaukee, WI",10,BYU,Oregon
210,2014,west,1,2,Wisconsin,"Milwaukee, WI",15,American,Wisconsin
211,2014,west,2,1,Arizona,"San Diego, CA",8,Gonzaga,Arizona
212,2014,west,2,12,North Dakota State,"Spokane, WA",4,San Diego State,San Diego State
213,2014,west,2,6,Baylor,"San Antonio, TX",3,Creighton,Baylor
214,2014,west,2,7,Oregon,"Milwaukee, WI",2,Wisconsin,Wisconsin
215,2014,west,3,1,Arizona,"Anaheim, CA",4,San Diego State,Arizona
216,2014,west,3,6,Baylor,"Anaheim, CA",2,Wisconsin,Wisconsin
217,2014,west,4,1,Arizona,"Anaheim, CA",2,Wisconsin,Wisconsin
218,2014,east,1,1,Virginia,"Raleigh, NC",16,Coastal Carolina,Virginia
219,2014,east,1,8,Memphis,"Raleigh, NC",9,George Washington,Memphis
220,2014,east,1,5,Cincinnati,"Spokane, WA",12,Harvard,Harvard
221,2014,east,1,4,Michigan State,"Spokane, WA",13,Delaware,Michigan State
222,2014,east,1,6,UNC,"San Antonio, TX",11,Providence,UNC
223,2014,east,1,3,Iowa State,"San Antonio, TX",14,North Carolina Central,Iowa State
224,2014,east,1,7,UConn,"Buffalo, NY",10,St. Joseph's,UConn
225,2014,east,1,2,Villanova,"Buffalo, NY",15,Milwaukee,Villanova
226,2014,east,2,1,Virginia,"Raleigh, NC",8,Memphis,Virginia
227,2014,east,2,12,Harvard,"Spokane, WA",4,Michigan State,Michigan State
228,2014,east,2,6,UNC,"San Antonio, TX",3,Iowa State,Iowa State
229,2014,east,2,7,UConn,"Buffalo, NY",2,Villanova,UConn
230,2014,east,3,1,Virginia,"New York, NY",4,Michigan State,Michigan State
231,2014,east,3,3,Iowa State,"New York, NY",7,UConn,UConn
232,2014,east,4,4,Michigan State,"New York, NY",7,UConn,UConn
233,2014,south,1,1,Florida,"Orlando, FL",16,Albany (NY),Florida
234,2014,south,1,8,Colorado,"Orlando, FL",9,Pitt,Pitt
235,2014,south,1,5,VCU,"San Diego, CA",12,Stephen F. Austin,Stephen F. Austin
236,2014,south,1,4,UCLA,"San Diego, CA",13,Tulsa,UCLA
237,2014,south,1,6,Ohio State,"Buffalo, NY",11,Dayton,Dayton
238,2014,south,1,3,Syracuse,"Buffalo, NY",14,Western Michigan,Syracuse
239,2014,south,1,7,New Mexico,"St. Louis, MO",10,Stanford,Stanford
240,2014,south,1,2,Kansas,"St. Louis, MO",15,Eastern Kentucky,Kansas
241,2014,south,2,1,Florida,"Orlando, FL",9,Pitt,Florida
242,2014,south,2,12,Stephen F. Austin,"San Diego, CA",4,UCLA,UCLA
243,2014,south,2,11,Dayton,"Buffalo, NY",3,Syracuse,Dayton
244,2014,south,2,10,Stanford,"St. Louis, MO",2,Kansas,Stanford
245,2014,south,3,1,Florida,"Memphis, TN",4,UCLA,Florida
246,2014,south,3,11,Dayton,"Memphis, TN",10,Stanford,Dayton
247,2014,south,4,1,Florida,"Memphis, TN",11,Dayton,Florida
248,2014,final four,5,7,UConn,"Arlington, TX",1,Florida,UConn
249,2014,final four,5,2,Wisconsin,"Arlington, TX",8,Kentucky,Kentucky
250,2014,final four,6,7,UConn,"Arlington, TX",8,Kentucky,UConn
251,2013,east,1,1,Indiana,"Dayton, OH",16,James Madison,Indiana
252,2013,east,1,8,North Carolina State,"Dayton, OH",9,Temple,Temple
253,2013,east,1,5,UNLV,"San Jose, CA",12,University of California,University of California
254,2013,east,1,4,Syracuse,"San Jose, CA",13,Montana,Syracuse
255,2013,east,1,6,Butler,"Lexington, KY",11,Bucknell,Butler
256,2013,east,1,3,Marquette,"Lexington, KY",14,Davidson,Marquette
257,2013,east,1,7,Illinois,"Austin, TX",10,Colorado,Illinois
258,2013,east,1,2,Miami (FL),"Austin, TX",15,Pacific,Miami (FL)
259,2013,east,2,1,Indiana,"Dayton, OH",9,Temple,Indiana
260,2013,east,2,12,University of California,"San Jose, CA",4,Syracuse,Syracuse
261,2013,east,2,6,Butler,"Lexington, KY",3,Marquette,Marquette
262,2013,east,2,7,Illinois,"Austin, TX",2,Miami (FL),Miami (FL)
263,2013,east,3,1,Indiana,"Washington, DC",4,Syracuse,Syracuse
264,2013,east,3,3,Marquette,"Washington, DC",2,Miami (FL),Marquette
265,2013,east,4,4,Syracuse,"Washington, DC",3,Marquette,Syracuse
266,2013,midwest,1,1,Louisville,"Lexington, KY",16,North Carolina A&T;,Louisville
267,2013,midwest,1,8,Colorado State,"Lexington, KY",9,Missouri,Colorado State
268,2013,midwest,1,5,Oklahoma State,"San Jose, CA",12,Oregon,Oregon
269,2013,midwest,1,4,Saint Louis,"San Jose, CA",13,New Mexico State,Saint Louis
270,2013,midwest,1,6,Memphis,"Auburn Hills, MI",11,Saint Mary's (CA),Memphis
271,2013,midwest,1,3,Michigan State,"Auburn Hills, MI",14,Valparaiso,Michigan State
272,2013,midwest,1,7,Creighton,"Philadelphia, PA",10,Cincinnati,Creighton
273,2013,midwest,1,2,Duke,"Philadelphia, PA",15,Albany (NY),Duke
